Data,Dissociation time,Displacement,Ligand RMSD,Interface RMSD,BSA,Results
3OVB,48.45,3.396,3.852,1.555,-11.849,0
3OVB,44.9,3.373,9.988,3.852,-5.539,0
3OVB,67.3,2.301,2.684,1.156,-15.003,0
3OVB,45.65,3.744,4.044,1.493,-13.106,0
3OVB,69.9,2.494,2.981,0.959,-11.758,0
3OVB,53.65,2.939,3.478,1.143,-13.122,0
3OVB,42.6,3.418,3.902,0.785,-5.259,0
3OVB,50.3,3.634,3.993,1.493,-10.086,0
3OVB,82.95,2.241,2.405,0.78,-9.96,0
3OVB,34.4,4.171,8.678,1.932,-7.89,0
3OVB,74.05,2.707,3.081,1.328,-12.157,0
3OVB,34.55,4.294,4.734,1.5,-2.484,0
3OVB,46,3.617,3.87,1.337,-9.728,0
3OVB,66.9,3.157,3.476,1.368,-9.767,0
